Percentage of Women,Percentage of Men,Percentage of Eldelry - 65 or more years ,Percentage of Youth - 15-24 years,Average family size - 1 to 3 members,Town,Average family size - 4 to 6 members,Average family size - 7 or more members ,District,family
52.0,48.0,10.0,16.0,1,Deir El-Ghazal,0,0,Zahle_District,1-3
50.0,50.0,25.0,55.0,0,Deir El-harf,1,0,Baabda_District,4-6
49.06,50.93,24.29,10.28,0,Deir Jannine,1,0,Akkar_Governorate,4-6
51.0,49.0,10.0,20.0,0,Deir Kifa,1,0,Tyre_District,4-6
60.0,40.0,15.0,20.0,0,Deir Koucheh,1,0,Mount_Lebanon_Governorate,4-6
55.0,45.0,50.0,30.0,1,Deir Mimas,0,0,Marjeyoun_District,1-3
51.0,49.0,7.0,40.0,0,Deir Nbouh,1,0,Miniyeha-Danniyeh_District,4-6
50.0,50.0,9.0,31.0,0,Deir Ntar,1,0,Bint_Jbeil_District,4-6
25.0,48.0,15.0,30.0,0,Deir Qanoun El-Aain,1,0,Tyre_District,4-6
60.0,40.0,20.0,45.0,0,Deir Qanoun En-Nahr,1,0,Tyre_District,4-6
55.0,45.0,10.0,35.0,0,Deir Siriane,1,0,Marjeyoun_District,4-6
60.0,40.0,8.0,20.0,0,Dellafeh,1,0,Hasbaya_District,4-6
45.0,54.0,20.0,30.0,0,Derdaghaiya,1,0,Tyre_District,4-6
55.0,45.0,5.0,25.0,0,Dhayra,1,0,Tyre_District,4-6
47.0,53.0,15.0,30.0,0,Dhour el hawa,1,0,North_Governorate,4-6
60.0,40.0,10.0,30.0,0,Dibbabiyeh,1,0,Akkar_Governorate,4-6
40.0,60.0,45.0,55.0,1,Dibbine,0,0,Marjeyoun_District,1-3
45.0,55.0,8.0,20.0,0,Dibbiyeh,1,0,Mount_Lebanon_Governorate,4-6
60.0,40.0,15.0,30.0,0,Dik El-Mehdi,1,0,Matn_District,4-6
60.0,40.0,20.0,20.0,0,Dimane,1,0,Bsharri_District,4-6
60.0,40.0,25.0,35.0,1,Dlebta,0,0,Keserwan_District,1-3
45.0,55.0,20.0,10.0,0,Dmit,1,0,Mount_Lebanon_Governorate,4-6
0.0,0.0,0.0,20.0,0,Douair Aadouiyeh,0,1,Akkar_Governorate,7+
50.0,50.0,25.0,20.0,1,Douma,0,0,Batroun_District,1-3
55.0,45.0,5.0,15.0,0,Douris,1,0,Baalbek-Hermel_Governorate,4-6
45.0,55.0,0.0,0.0,1,Edde El-Batroun,0,0,Batroun_District,1-3
60.0,40.0,30.0,20.0,0,Eddeh Jbeil,1,0,Byblos_District,4-6
45.0,55.0,20.0,10.0,1,Eghbe,0,0,Keserwan_District,1-3
52.0,48.0,10.0,25.0,0,Ehmej,1,0,Byblos_District,4-6
65.0,45.0,40.0,30.0,0,Ein el Dahab,1,0,Akkar_Governorate,4-6
55.0,55.0,30.0,40.0,0,El Ain,1,0,Baalbek-Hermel_Governorate,4-6
55.0,45.0,25.0,30.0,1,El Ghabe,0,0,Matn_District,1-3
50.0,50.0,15.0,15.0,0,El Kfeir,1,0,Hasbaya_District,4-6
60.0,40.0,10.0,30.0,0,El Marej,1,0,Western_Beqaa_District,4-6
60.0,40.0,20.0,8.0,0,En-Nahriyyi,1,0,Akkar_Governorate,4-6
50.0,50.0,15.0,20.0,0,Enfeh,1,0,North_Governorate,4-6
50.0,50.0,30.0,40.0,0,Fanar,1,0,Matn_District,4-6
49.0,51.0,20.0,40.0,0,Faraya,1,0,Keserwan_District,4-6
40.0,60.0,10.0,30.0,0,Fard,1,0,Akkar_Governorate,4-6
55.0,45.0,10.0,35.0,0,Fardis Hasbaiya,1,0,Hasbaya_District,4-6
50.0,50.0,10.0,20.0,0,Fatqa,1,0,Keserwan_District,4-6
70.0,70.0,40.0,50.0,1,Fatre,0,0,Byblos_District,1-3
51.0,49.0,35.0,27.0,0,Fekehe,1,0,Baalbek-Hermel_Governorate,4-6
60.0,40.0,5.0,20.0,0,Ferhet,1,0,Byblos_District,4-6
52.0,48.0,15.0,35.0,0,Fghal,1,0,Byblos_District,4-6
51.0,49.0,20.0,10.0,0,Fiaa,1,0,North_Governorate,4-6
60.0,40.0,25.0,25.0,0,Fikani,1,0,Zahle_District,4-6
50.0,50.0,9.0,20.0,0,Fisan,1,0,Hermel_District,4-6
51.0,49.0,20.0,40.0,0,Fnaydek,1,0,Akkar_Governorate,4-6
60.0,40.0,15.0,27.0,0,Fouara,1,0,Mount_Lebanon_Governorate,4-6
40.0,60.0,30.0,50.0,1,Fourzol,0,0,Zahle_District,1-3
45.0,55.0,20.0,65.0,0,Fraides,1,0,Akkar_Governorate,4-6
60.0,40.0,40.0,60.0,0,Fraikeh,1,0,Matn_District,4-6
52.0,48.0,35.0,30.0,0,Fraudis Ech-Chouf,1,0,Mount_Lebanon_Governorate,4-6
65.0,45.0,20.0,40.0,0,Froun,1,0,Bint_Jbeil_District,4-6
70.0,30.0,15.0,20.0,1,Ghabat,0,0,Byblos_District,1-3
60.0,40.0,15.0,20.0,0,Ghaboune,1,0,Aley_District,4-6
65.0,35.0,15.0,38.0,0,Ghalboun,1,0,Byblos_District,4-6
40.0,60.0,20.0,40.0,0,Ghandouriyet Bent Jbeil,1,0,Bint_Jbeil_District,4-6
83.0,100.0,8.0,20.0,0,Gharzouz,1,0,Byblos_District,4-6
60.0,40.0,20.0,30.0,0,Ghassaniyeh,1,0,Sidon_District,4-6
30.0,70.0,5.0,60.0,0,Ghazayleh,1,0,Akkar_Governorate,4-6
60.0,40.0,15.0,35.0,1,Ghaziyeh,0,0,Sidon_District,1-3
55.0,45.0,25.0,25.0,0,Ghazzeh,1,0,Western_Beqaa_District,4-6
40.0,60.0,30.0,15.0,0,Ghbaet Bolonya,1,0,Matn_District,4-6
51.5,48.5,25.0,15.0,0,Ghbaleh Kesrouane,1,0,Keserwan_District,4-6
40.0,60.0,10.0,30.0,0,Ghbatiyeh,1,0,South_Governorate,4-6
50.0,50.0,10.0,20.0,0,Ghidras,1,0,Keserwan_District,4-6
50.0,50.0,30.0,20.0,0,Ghineh,1,0,Keserwan_District,4-6
49.0,51.0,10.0,67.0,0,Ghobairi,1,0,Baabda_District,4-6
95.0,60.0,8.0,50.0,0,Ghoifine,1,0,Byblos_District,4-6
60.0,40.0,20.0,30.0,0,Ghosta,0,1,Keserwan_District,7+
65.0,45.0,25.0,50.0,0,Habbouch En-Nabatiyeh,1,0,Nabatieh_Governorate,4-6
40.0,60.0,35.0,25.0,1,Hadath Ej-Jebbeh,0,0,Bsharri_District,1-3
52.0,48.0,20.0,40.0,0,Hadath-Sbeineh,1,0,Baabda_District,4-6
55.0,35.0,32.0,15.0,0,Hadchit,1,0,Bsharri_District,4-6
70.0,65.0,20.0,50.0,0,Hajjeh,0,1,Sidon_District,7+
55.0,45.0,15.0,35.0,0,Hakel,1,0,Byblos_District,4-6
60.0,40.0,30.0,0.0,0,Hakour,1,0,Akkar_Governorate,4-6
50.0,50.0,30.0,30.0,0,Halate,1,0,Byblos_District,4-6
40.0,60.0,10.0,40.0,0,Halba,1,0,Akkar_Governorate,4-6
60.0,40.0,20.0,25.0,0,Halbata,0,1,Baalbek-Hermel_Governorate,7+
40.0,60.0,10.0,30.0,0,Halloussiyeh,1,0,Tyre_District,4-6
51.0,49.0,40.0,20.0,0,Hamat,1,0,Batroun_District,4-6
52.0,48.0,45.0,25.0,1,Hammana,0,0,Baabda_District,1-3
40.0,40.0,10.0,20.0,1,Hanaouay,0,0,Tyre_District,1-3
60.0,40.0,40.0,40.0,1,Haouch El Qinnabeh Rachaya,0,0,Beqaa_Governorate,1-3
55.0,45.0,4.0,40.0,0,Haouch En-Nabi,1,0,Baalbek-Hermel_Governorate,4-6
55.0,45.0,40.0,35.0,0,Haouch Er-Rafqa,1,0,Baalbek-Hermel_Governorate,4-6
50.0,40.0,15.0,30.0,0,Haouch Hala,1,0,Zahle_District,4-6
49.0,51.0,7.0,17.0,0,Haouch Tall Safiyeh,1,0,Baalbek-Hermel_Governorate,4-6
60.0,40.0,10.0,50.0,0,Haql el Aazimeh,1,0,Miniyeha-Danniyeh_District,4-6
50.0,50.0,10.0,40.0,0,Harabta,1,0,Baalbek-Hermel_Governorate,4-6
50.0,50.0,15.0,25.0,0,Haret Es-Sit,1,0,Baabda_District,4-6
60.0,30.0,10.0,20.0,0,Haret Fouar,1,0,Zgharta_District,4-6
51.0,49.0,20.0,15.0,0,Haret Jandal,1,0,Mount_Lebanon_Governorate,4-6
55.0,45.0,30.0,35.0,0,Haret Saida,1,0,Sidon_District,4-6
40.0,60.0,10.0,20.0,0,Harf,1,0,South_Governorate,4-6
45.0,55.0,20.0,25.0,0,Harf Es-Sayad,1,0,Miniyeha-Danniyeh_District,4-6
65.0,35.0,15.0,60.0,0,Harouf,1,0,Nabatieh_Governorate,4-6
55.0,45.0,15.0,35.0,0,Hasbaiya,1,0,Hasbaya_District,4-6
50.0,50.0,25.0,20.0,0,Hasbaiya El-Matn,1,0,Baabda_District,4-6
45.0,55.0,12.0,30.0,0,Hasrayel,1,0,Byblos_District,4-6
50.0,50.0,10.0,25.0,0,Hasroun,1,0,Bsharri_District,4-6
55.0,45.0,5.0,25.0,0,Hayshe,1,0,Akkar_Governorate,4-6
55.0,45.0,4.0,30.0,0,Hayssa,1,0,Akkar_Governorate,4-6
55.0,45.0,20.0,25.0,0,Haytla,1,0,Akkar_Governorate,4-6
55.0,45.0,30.0,20.0,0,Haytoura,1,0,South_Governorate,4-6
50.0,50.0,10.0,15.0,0,Hayzouq,1,0,Akkar_Governorate,4-6
50.0,50.0,15.0,35.0,0,Hazmiyet-Miniyeh,1,0,Miniyeha-Danniyeh_District,4-6
50.0,50.0,0.0,0.0,1,Hdeine,0,0,Byblos_District,1-3
52.0,48.0,17.0,61.0,0,Hebbariyeh,1,0,Hasbaya_District,4-6
70.0,30.0,50.0,5.0,0,Hedd,1,0,Akkar_Governorate,4-6
52.0,48.0,10.0,20.0,0,Helouet Rachaya,1,0,Beqaa_Governorate,4-6
70.0,30.0,10.0,15.0,1,Heri,0,0,Batroun_District,1-3
60.0,40.0,10.0,30.0,0,Hermel,1,0,Hermel_District,4-6
40.0,60.0,10.0,5.0,0,Hidab,1,0,South_Governorate,4-6
40.0,60.0,10.0,25.0,1,Hilan,0,0,Zgharta_District,1-3
65.0,0.0,15.0,20.0,0,Hjoula,1,0,Byblos_District,4-6
45.0,55.0,10.0,18.0,0,Hlaliyeh ,1,0,Baabda_District,4-6
50.0,50.0,40.0,20.0,0,Hlaliyeh Saida,1,0,Sidon_District,4-6
52.0,48.0,20.0,50.0,0,Hmaireh Aakkar,1,0,Akkar_Governorate,4-6
60.0,40.0,5.0,40.0,0,Hmairi Sour,1,0,Tyre_District,4-6
40.0,60.0,20.0,25.0,0,Hocheb,1,0,Akkar_Governorate,4-6
60.0,40.0,15.0,45.0,0,Houaich,1,0,Akkar_Governorate,4-6
52.0,48.0,15.0,30.0,0,Houmine El-Faouqa,1,0,Nabatieh_Governorate,4-6
55.0,45.0,15.0,25.0,0,Houmine Et-Tahta,1,0,Nabatieh_Governorate,4-6
60.0,40.0,20.0,20.0,0,Howara,1,0,Miniyeha-Danniyeh_District,4-6
51.0,49.0,15.0,35.0,0,Hrajel,1,0,Keserwan_District,4-6
55.0,45.0,10.0,25.0,0,Hrar,1,0,Akkar_Governorate,4-6
55.0,45.0,10.0,20.0,0,Hsarat,1,0,Byblos_District,4-6
52.0,48.0,40.0,30.0,0,Hsayn,1,0,Keserwan_District,4-6
60.0,40.0,30.0,40.0,0,Iaat,1,0,Baalbek-Hermel_Governorate,4-6
35.0,25.0,30.0,30.0,0,Idbil,1,0,Akkar_Governorate,4-6
60.0,40.0,10.0,15.0,0,Ighmid,1,0,Aley_District,4-6
50.0,50.0,20.0,20.0,0,Ijbaa,1,0,Zgharta_District,4-6
50.0,50.0,10.0,30.0,0,Ijdaabrine,1,0,North_Governorate,4-6
50.0,50.0,10.0,20.0,0,Ilat,1,0,Akkar_Governorate,4-6
60.0,40.0,10.0,15.0,0,Insariyeh,1,0,Sidon_District,4-6
40.0,60.0,20.0,80.0,0,Izal,1,0,Miniyeha-Danniyeh_District,4-6
55.0,45.0,15.0,30.0,0,Jadra,1,0,Mount_Lebanon_Governorate,4-6
40.0,60.0,0.0,0.0,0,Jahliyeh,1,0,Mount_Lebanon_Governorate,4-6
55.0,45.0,30.0,30.0,0,Jaj,1,0,Byblos_District,4-6
53.0,47.0,0.0,0.0,0,Jall Ed-Dib,1,0,Matn_District,4-6
50.0,50.0,20.0,20.0,0,Jarbata,1,0,Batroun_District,4-6
40.0,60.0,15.0,20.0,0,Jarjouaa,1,0,Nabatieh_Governorate,4-6
50.0,50.0,35.0,30.0,0,Jarmaq,1,0,South_Governorate,4-6
60.0,40.0,8.0,16.0,0,Jbaa En-Nabatiyeh,1,0,Mount_Lebanon_Governorate,4-6
51.0,49.0,15.0,30.0,1,Jbaa En-Nabatiyeh-Ein-Boswar,0,0,Nabatieh_Governorate,1-3
60.0,40.0,30.0,35.0,1,Jbeil,0,0,Byblos_District,1-3
50.0,50.0,16.0,20.0,1,Jdaidet Ghazir,0,0,Keserwan_District,1-3
55.0,45.0,15.0,25.0,0,Jdaidet Marjaayoun,1,0,Marjeyoun_District,4-6
52.0,48.0,30.0,52.0,0,Jdeidet Ech-Chouf,1,0,Mount_Lebanon_Governorate,4-6
60.0,40.0,20.0,30.0,0,Jdidet Ej-Joumeh,1,0,Akkar_Governorate,4-6
60.0,40.0,10.0,20.0,1,Jdita,0,0,Zahle_District,1-3
55.0,45.0,30.0,30.0,0,Jebrayel,1,0,Akkar_Governorate,4-6
60.0,40.0,40.0,30.0,1,Jenjlaya,0,0,Sidon_District,1-3
45.0,40.0,4.0,17.0,0,Jensnaya,1,0,South_Governorate,4-6
40.0,35.0,5.0,15.0,0,Jenta,1,0,Baalbek-Hermel_Governorate,4-6
55.0,45.0,3.0,15.0,0,Jeoddayel Jbeil,1,0,Byblos_District,4-6
54.0,46.0,15.0,10.0,0,Jermanya,1,0,Akkar_Governorate,4-6
50.0,50.0,70.0,10.0,0,Jernaya,1,0,South_Governorate,4-6
50.0,50.0,40.0,30.0,0,Jezzine-Ain Majdelin,1,0,South_Governorate,4-6
52.0,48.0,5.0,30.0,0,Jibchit,1,0,Nabatieh_Governorate,4-6
50.0,50.0,10.0,10.0,1,Jiyeh,0,0,Mount_Lebanon_Governorate,1-3
60.0,40.0,60.0,15.0,0,Jmailiyeh,1,0,Mount_Lebanon_Governorate,4-6
54.0,46.0,25.0,20.0,0,Jouaiya,1,0,Tyre_District,4-6
55.0,45.0,15.0,35.0,0,Jouar El-Haouz,1,0,Baabda_District,4-6
60.0,40.0,15.0,10.0,0,Joubb Jannine,1,0,Western_Beqaa_District,4-6
60.0,40.0,10.0,30.0,0,Jouret Arsoun,1,0,Baabda_District,4-6
40.0,60.0,30.0,10.0,1,Jouret El-Ballout,0,0,Matn_District,1-3
50.0,50.0,15.0,18.0,0,Kafr,1,0,Byblos_District,4-6
48.0,42.0,20.0,16.0,1,Kafr Harra,0,0,Akkar_Governorate,1-3
50.0,50.0,25.0,35.0,0,Kafr Jarrah,1,0,South_Governorate,4-6
60.0,40.0,35.0,30.0,0,Kafr Saroun,1,0,North_Governorate,4-6
60.0,40.0,20.0,60.0,0,Kafr horra,1,0,Zgharta_District,4-6
60.0,40.0,30.0,60.0,0,Kafra Bent Jbeil,1,0,Bint_Jbeil_District,4-6
40.0,60.0,40.0,60.0,0,Kafraiya West Bekaa,1,0,Western_Beqaa_District,4-6
50.0,50.0,15.0,40.0,0,Kafraya El-Koura,1,0,North_Governorate,4-6
46.0,43.0,25.0,35.0,0,Kafrnoun,1,0,Akkar_Governorate,4-6
55.0,45.0,40.0,15.0,0,Kafrya,1,0,Sidon_District,4-6
70.0,30.0,19.0,15.0,1,Kaftoun,0,0,North_Governorate,1-3
45.0,55.0,20.0,25.0,0,Kahef Maloul,1,0,Miniyeha-Danniyeh_District,4-6
55.0,45.0,15.0,10.0,0,Kahlouniet Ech-Chouf,1,0,Mount_Lebanon_Governorate,4-6
40.0,60.0,10.0,60.0,0,Kamed El-Laouz,1,0,Western_Beqaa_District,4-6
50.0,50.0,20.0,15.0,0,Kaoukaba Bou Arab,1,0,Beqaa_Governorate,4-6
55.0,45.0,20.0,20.0,0,Kaoukaba Hasbaiya,1,0,Hasbaya_District,4-6
60.0,40.0,20.0,40.0,0,Kaoutariyet Es-Siyad,1,0,Sidon_District,4-6
44.0,55.0,40.0,20.0,0,Karm El-Mohr,1,0,Miniyeha-Danniyeh_District,4-6
40.0,60.0,10.0,20.0,0,Karm Saddeh,1,0,Zgharta_District,4-6
40.0,60.0,1.0,40.0,0,Karm Zebdine,1,0,Akkar_Governorate,4-6
55.0,45.0,40.0,30.0,0,Ketermaya,1,0,Mount_Lebanon_Governorate,4-6
40.0,60.0,7.0,30.0,0,Keyfoun,1,0,Aley_District,4-6
52.0,48.0,25.0,30.0,0,Kfar Aabida,1,0,Batroun_District,4-6
50.0,50.0,20.0,10.0,0,Kfar Aamay,1,0,Aley_District,4-6
51.0,49.0,30.0,0.0,0,Kfar Aaqab,1,0,Matn_District,4-6
55.0,45.0,20.0,30.0,0,Kfar Aaqqa,1,0,North_Governorate,4-6
40.0,60.0,10.0,20.0,0,Kfar Baal,1,0,Byblos_District,4-6
40.0,60.0,1.0,60.0,0,Kfar Beit,1,0,Sidon_District,4-6
52.0,48.0,13.0,60.0,0,Kfar Bibnine,1,0,Miniyeha-Danniyeh_District,4-6
50.0,50.0,20.0,30.0,0,Kfar Chellal,1,0,Sidon_District,4-6
20.0,15.0,17.0,20.0,0,Kfar Dane,1,0,Baalbek-Hermel_Governorate,4-6
55.0,45.0,10.0,40.0,0,Kfar Denis,1,0,Beqaa_Governorate,4-6
40.0,60.0,30.0,30.0,0,Kfar Dibiane,1,0,Keserwan_District,4-6
55.0,45.0,10.0,20.0,0,Kfar Dounine,1,0,Bint_Jbeil_District,4-6
65.0,35.0,35.0,20.0,0,Kfar Falous,1,0,South_Governorate,4-6
30.0,40.0,10.0,10.0,0,Kfar Faqoud,1,0,Mount_Lebanon_Governorate,4-6
50.0,50.0,30.0,30.0,0,Kfar Habou,0,1,Miniyeha-Danniyeh_District,7+
55.0,45.0,10.0,15.0,0,Kfar Hamam,1,0,Hasbaya_District,4-6
37.5,62.5,20.0,70.0,0,Kfar Hatta Saida,1,0,Sidon_District,4-6
55.0,45.0,20.0,35.0,1,Kfar Hay,0,0,Batroun_District,1-3
45.0,55.0,30.0,40.0,0,Kfar Hazir,1,0,North_Governorate,4-6
60.0,40.0,25.0,40.0,0,Kfar Hilda,1,0,Batroun_District,4-6
40.0,40.0,20.0,10.0,0,Kfar Houneh,1,0,South_Governorate,4-6
52.0,48.0,10.0,20.0,1,Kfar Jreif,0,0,Keserwan_District,1-3
60.0,40.0,30.0,30.0,0,Kfar Kila,1,0,Marjeyoun_District,4-6
55.0,45.0,20.0,20.0,0,Kfar Matta,1,0,Aley_District,4-6
65.0,35.0,15.0,20.0,0,Kfar Melki Saida,1,0,Sidon_District,4-6
55.0,45.0,30.0,30.0,0,Kfar Nabrakh,1,0,Mount_Lebanon_Governorate,4-6
40.0,60.0,20.0,10.0,0,Kfar Qouq,1,0,Beqaa_Governorate,4-6
51.0,49.0,8.0,30.0,0,Kfar Roummane,1,0,Nabatieh_Governorate,4-6
52.0,48.0,5.0,20.0,0,Kfar Selouane,1,0,Baabda_District,4-6
55.0,45.0,14.0,25.0,0,Kfar Sir,1,0,Nabatieh_Governorate,4-6
50.0,50.0,30.0,20.0,0,Kfar Tay El-Matn,1,0,Matn_District,4-6
55.0,45.0,15.0,30.0,0,Kfar Tibnit,1,0,Nabatieh_Governorate,4-6
65.0,45.0,35.0,45.0,0,Kfar michki,1,0,Beqaa_Governorate,4-6
55.0,45.0,10.0,35.0,0,Kfarfila,1,0,Nabatieh_Governorate,4-6
50.0,50.0,10.0,60.0,0,Kfarfou,1,0,Zgharta_District,4-6
47.0,53.0,16.0,7.0,0,Kfarsghab,1,0,Zgharta_District,4-6
55.0,45.0,5.0,25.0,0,Kfartoun,1,0,Akkar_Governorate,4-6
60.0,40.0,25.0,20.0,0,Kfaryachit,1,0,Zgharta_District,4-6
45.0,55.0,20.0,20.0,0,Kfarzabad,1,0,Zahle_District,4-6
60.0,40.0,10.0,25.0,0,Kfoun,1,0,Byblos_District,4-6
35.0,65.0,15.0,15.0,0,Kfour El-Aarbi,1,0,Batroun_District,4-6
40.0,40.0,15.0,40.0,0,Kfour En-Nabatieh,1,0,Keserwan_District,4-6
55.0,45.0,22.0,20.0,0,Khalwat,1,0,Hasbaya_District,4-6
55.0,45.0,25.0,35.0,0,Kharbe,1,0,Byblos_District,4-6
65.0,35.0,25.0,15.0,0,Kharnoub,1,0,Miniyeha-Danniyeh_District,4-6
60.0,40.0,7.0,35.0,0,Khartoum,1,0,Sidon_District,4-6
50.0,50.0,2.0,30.0,0,Khat el Petrol,1,0,Akkar_Governorate,4-6
50.0,50.0,30.0,25.0,0,Khinchara,1,0,Matn_District,4-6
55.0,45.0,6.0,30.0,0,Khirbet Bisri,1,0,Mount_Lebanon_Governorate,4-6
55.0,45.0,10.0,20.0,0,Khirbet Char,1,0,Akkar_Governorate,4-6
60.0,40.0,5.0,24.0,0,Khirbet Daoud Aakkar,1,0,Akkar_Governorate,4-6
55.0,45.0,15.0,60.0,0,Khirbet Jord,1,0,Akkar_Governorate,4-6
65.0,35.0,60.0,20.0,0,Khirbet Qanafar,1,0,Western_Beqaa_District,4-6
55.0,45.0,10.0,60.0,0,Khirbet Rouha,1,0,Beqaa_Governorate,4-6
60.0,40.0,10.0,25.0,0,Khodr Baalbek,1,0,Baalbek-Hermel_Governorate,4-6
60.0,40.0,30.0,45.0,0,Khreibet Baabda,1,0,Baabda_District,4-6
65.0,35.0,10.0,30.0,0,Khreibet Ej-Jindi,1,0,Akkar_Governorate,4-6
60.0,40.0,10.0,31.0,0,Kleyleh,1,0,Mount_Lebanon_Governorate,4-6
60.0,40.0,20.0,30.0,0,Kneisset Aakkar,1,0,Akkar_Governorate,4-6
55.0,45.0,50.0,30.0,0,Kneisset Ech-Chouf,1,0,Mount_Lebanon_Governorate,4-6
55.0,45.0,2.0,30.0,0,Kouachra,1,0,Akkar_Governorate,4-6
53.0,47.0,18.0,35.0,1,Kouakh,0,0,Hermel_District,1-3
55.0,45.0,10.0,30.0,0,Koueikhat,1,0,Akkar_Governorate,4-6
49.0,51.0,15.0,25.0,0,Kounine,1,0,Bint_Jbeil_District,4-6
60.0,40.0,20.0,60.0,1,Kour,0,0,Batroun_District,1-3
55.0,45.0,20.0,25.0,0,Kousba,1,0,North_Governorate,4-6
55.0,45.0,5.0,30.0,0,Kroum El-Aarab,0,1,Akkar_Governorate,7+
43.0,57.0,22.0,33.0,0,Lala,1,0,Western_Beqaa_District,4-6
35.0,65.0,2.0,3.0,1,Lassa,0,0,Byblos_District,1-3
51.0,49.0,20.0,20.0,0,Lebaa,1,0,South_Governorate,4-6
51.0,49.0,20.0,30.0,0,Lehfed,1,0,Byblos_District,4-6
55.0,45.0,30.0,30.0,0,Louayzet Jezzine,1,0,South_Governorate,4-6
49.0,51.0,18.0,20.0,0,Loubieh,1,0,Sidon_District,4-6
45.0,55.0,20.0,25.0,0,Maad,1,0,Byblos_District,4-6
45.0,45.0,20.0,10.0,0,Maarab,1,0,Keserwan_District,4-6
55.0,45.0,8.0,15.0,0,Maaraboun,0,1,Baalbek-Hermel_Governorate,7+
49.0,51.0,20.0,35.0,0,Maarakeh,1,0,Tyre_District,4-6
50.0,50.0,20.0,20.0,0,Maasrati,1,0,Aley_District,4-6
50.0,50.0,30.0,25.0,0,Maasser Beit Ed-Dine,1,0,Mount_Lebanon_Governorate,4-6
45.0,55.0,10.0,40.0,0,Maasser Ech-Chouf,1,0,Mount_Lebanon_Governorate,4-6
50.0,50.0,20.0,30.0,0,Maaysra Kesrouane,1,0,Keserwan_District,4-6
55.0,45.0,9.2,19.9,0,Machghara,1,0,Western_Beqaa_District,4-6
45.0,55.0,5.0,10.0,0,Machha,1,0,Akkar_Governorate,4-6
48.0,52.0,30.0,25.0,0,Machmoucheh,1,0,South_Governorate,4-6
60.0,40.0,15.0,55.0,0,Machta Hammoud,1,0,Akkar_Governorate,4-6
53.0,47.0,10.0,35.0,0,Machta Hassan,1,0,Akkar_Governorate,4-6
54.0,46.0,40.0,60.0,0,Maghdoucheh,1,0,Sidon_District,4-6
40.0,60.0,10.0,20.0,1,Magher wbala,0,0,Bsharri_District,1-3
60.0,40.0,5.0,20.0,0,Mahrouna,1,0,Tyre_District,4-6
55.0,45.0,15.0,20.0,0,Majdala,1,0,Akkar_Governorate,4-6
50.0,50.0,15.0,30.0,0,Majdaloun,1,0,Baalbek-Hermel_Governorate,4-6
30.0,20.0,50.0,10.0,0,Majdalouna,1,0,Mount_Lebanon_Governorate,4-6
48.0,52.0,5.0,20.0,0,Majdel,1,0,Tyre_District,4-6
52.0,48.0,15.0,40.0,0,Majdel Baana,1,0,Aley_District,4-6
60.0,40.0,10.0,15.0,0,Majdel Balhis,1,0,Beqaa_Governorate,4-6
35.0,45.0,15.0,40.0,0,Majdel El-Aqoura,1,0,Byblos_District,4-6
60.0,40.0,20.0,30.0,0,Majdel El-Meouch,1,0,Mount_Lebanon_Governorate,4-6
52.0,48.0,12.0,15.0,0,Majdel Selm,1,0,Marjeyoun_District,4-6
50.0,50.0,20.0,60.0,0,Majdel el-Koura,1,0,North_Governorate,4-6
40.0,60.0,10.0,45.0,0,Majdelyoun,1,0,Sidon_District,4-6
45.0,55.0,10.0,40.0,0,Majdelzoun,1,0,Tyre_District,4-6
50.0,50.0,10.0,30.0,0,Makseh,1,0,Zahle_District,4-6
46.0,54.0,6.0,30.0,0,Malkiyah Village,1,0,Tyre_District,4-6
55.0,45.0,2.0,12.0,0,Mansoura,1,0,Western_Beqaa_District,4-6
65.0,35.0,10.0,10.0,0,Mansoura ,0,1,Akkar_Governorate,7+
50.0,50.0,30.0,30.0,0,Mansouriyet Bhamdoun,1,0,Aley_District,4-6
60.0,40.0,10.0,50.0,0,Maqneh,1,0,Baalbek-Hermel_Governorate,4-6
50.0,50.0,35.0,20.0,0,Mar Boutros Karm Et-Tine,1,0,Matn_District,4-6
60.0,40.0,5.0,30.0,1,Mar Chaaya,0,0,Matn_District,1-3
40.0,60.0,12.0,5.0,0,Mar Mama,1,0,Batroun_District,4-6
55.0,45.0,12.0,20.0,0,Marj Ez-Zouhour (Haouch El-Qinnaabeh),1,0,Hasbaya_District,4-6
55.0,45.0,15.0,25.0,0,Markaba,1,0,Marjeyoun_District,4-6
50.0,50.0,30.0,70.0,0,Massa,1,0,Zahle_District,4-6
60.0,40.0,20.0,25.0,0,Massaaoudiyeh,1,0,Akkar_Governorate,4-6
55.0,45.0,15.0,15.0,0,Mayasseh,1,0,Matn_District,4-6
50.0,50.0,15.0,50.0,0,Maydoun,1,0,Western_Beqaa_District,4-6
55.0,45.0,6.0,15.0,0,Mayfadoun,1,0,Nabatieh_Governorate,4-6
60.0,40.0,40.0,30.0,0,Mayrouba,1,0,Keserwan_District,4-6
55.0,45.0,10.0,20.0,0,Mazareaa Jabal Akroum,1,0,Akkar_Governorate,4-6
60.0,40.0,40.0,15.0,0,Mazraat Assaf,1,0,Bsharri_District,4-6
60.0,40.0,5.0,15.0,0,Mazraat Balda,1,0,Akkar_Governorate,4-6
51.0,49.0,20.0,10.0,0,Mazraat Bani Saab,1,0,Bsharri_District,4-6
40.0,60.0,20.0,30.0,0,Mazraat Bani Sakher,0,1,Akkar_Governorate,7+
